tournament_year,match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,top_player_reliance,top_connection_count,final_third_entries,progressive_passes,key_passes,goal_assists,through_balls,crosses,final_third_entry_share,final_third_entries_per_100_passes,connections_per_100_passes,passes_per_connection,advanced_from_group,reached_qf,stage_reached,most_involved_player,top_connection
2022,3857298,Portugal vs Ghana,2022-11-24,group,Ghana,Portugal,2,3,L,336,114,15,0.5429,0.1475,15,22,86,6,0,0,1,0.0655,6.55,33.93,2.95,0,0,Group Stage,Thomas Teye Partey,Amartey → Partey
2022,3857285,Senegal vs Netherlands,2022-11-21,group,Senegal,Netherlands,0,2,L,344,112,15,0.5333,0.1672,12,18,86,13,0,0,7,0.0523,5.23,32.56,3.07,1,0,Round of 16,Youssouf Sabaly,Sabaly → Koulibaly
2022,3857285,Senegal vs Netherlands,2022-11-21,group,Netherlands,Senegal,2,0,W,393,101,14,0.5549,0.1463,19,29,107,7,1,1,6,0.0738,7.38,25.7,3.89,1,1,Quarter-final,Nathan Aké,Aké → Dijk
2022,3857282,United States vs Wales,2022-11-21,group,United States,Wales,1,1,D,520,133,16,0.5542,0.1519,28,38,143,4,1,1,3,0.0731,7.31,25.58,3.91,1,0,Round of 16,Walker Zimmerman,Zimmerman → Dest
2022,3857282,United States vs Wales,2022-11-21,group,Wales,United States,1,1,D,339,111,15,0.5286,0.1563,22,24,107,5,0,0,4,0.0708,7.08,32.74,3.05,0,0,Group Stage,Joe Rodon,Rodon → Mepham
2022,3857297,Poland vs Saudi Arabia,2022-11-26,group,Poland,Saudi Arabia,2,0,W,259,101,13,0.6474,0.1158,12,27,77,6,1,0,7,0.1042,10.42,39.0,2.56,1,0,Round of 16,Jakub Piotr Kiwior,Glik → Kiwior
2022,3857297,Poland vs Saudi Arabia,2022-11-26,group,Saudi Arabia,Poland,0,2,L,489,134,16,0.5583,0.1411,16,38,133,10,0,0,4,0.0777,7.77,27.4,3.65,0,0,Group Stage,Mohammed Kanoo,Hamid → Dawsari
2022,3857294,Netherlands vs Qatar,2022-11-29,group,Netherlands,Qatar,2,0,W,747,141,16,0.5875,0.1386,34,72,178,7,1,1,1,0.0964,9.64,18.88,5.3,1,1,Quarter-final,Jurriën David Norman Timber,Aké → Blind
2022,3857294,Netherlands vs Qatar,2022-11-29,group,Qatar,Netherlands,0,2,L,396,124,15,0.5905,0.1719,11,20,86,3,0,0,3,0.0505,5.05,31.31,3.19,0,0,Group Stage,Akram Hassan Afif,Barsham → Khoukhi
2022,3857266,France vs Denmark,2022-11-26,group,France,Denmark,2,1,W,464,118,15,0.5619,0.1379,23,36,137,17,2,0,11,0.0776,7.76,25.43,3.93,1,1,Final,Aurélien Djani Tchouaméni,Hernández → Lottin
2022,3857266,France vs Denmark,2022-11-26,group,Denmark,France,1,2,L,479,115,15,0.5476,0.142,24,45,135,6,0,1,2,0.0939,9.39,24.01,4.17,0,0,Group Stage,Andreas Christensen,Nelsson → Christensen
2022,3857284,Germany vs Japan,2022-11-23,group,Germany,Japan,1,2,L,723,125,16,0.5208,0.1452,32,42,192,19,0,1,7,0.0581,5.81,17.29,5.78,0,0,Group Stage,Antonio Rüdiger,Schlotterbeck → Rüdiger
2022,3857284,Germany vs Japan,2022-11-23,group,Japan,Germany,2,1,W,215,93,16,0.3875,0.1488,8,12,72,8,1,1,3,0.0558,5.58,43.26,2.31,1,0,Round of 16,Maya Yoshida,Sakai → Ito
2022,3857254,Denmark vs Tunisia,2022-11-22,group,Denmark,Tunisia,0,0,D,544,124,15,0.5905,0.1388,16,45,161,9,0,0,4,0.0827,8.27,22.79,4.39,0,0,Group Stage,Andreas Christensen,Eriksen → Højbjerg
2022,3857254,Denmark vs Tunisia,2022-11-22,group,Tunisia,Denmark,0,0,D,315,97,16,0.4042,0.1444,15,17,90,8,0,1,1,0.054,5.4,30.79,3.25,0,0,Group Stage,Yassine Meriah,Bronn → Meriah
2022,3857265,Mexico vs Poland,2022-11-22,group,Mexico,Poland,0,0,D,437,114,14,0.6264,0.167,18,42,130,9,0,0,6,0.0961,9.61,26.09,3.83,0,0,Group Stage,Héctor Alfredo Moreno Herrera,Magaña → Herrera
2022,3857265,Mexico vs Poland,2022-11-22,group,Poland,Mexico,0,0,D,259,98,14,0.5385,0.1293,14,36,73,4,0,1,0,0.139,13.9,37.84,2.64,1,0,Round of 16,Jakub Piotr Kiwior,Szczęsny → Lewandowski
2022,3857301,Qatar vs Senegal,2022-11-25,group,Qatar,Senegal,1,3,L,362,120,15,0.5714,0.1436,14,23,112,7,1,0,7,0.0635,6.35,33.15,3.02,0,0,Group Stage,Boualem Khoukhi,Khoukhi → Madibo
2022,3857301,Qatar vs Senegal,2022-11-25,group,Senegal,Qatar,3,1,W,462,120,16,0.5,0.1461,22,43,134,7,2,0,2,0.0931,9.31,25.97,3.85,1,0,Round of 16,Youssouf Sabaly,Sabaly → Koulibaly
2022,3857268,Belgium vs Canada,2022-11-23,group,Belgium,Canada,1,0,W,451,119,15,0.5667,0.1552,25,19,121,7,1,1,4,0.0421,4.21,26.39,3.79,0,0,Group Stage,Leander Dendoncker,Dendoncker → Alderweireld
2022,3857268,Belgium vs Canada,2022-11-23,group,Canada,Belgium,0,1,L,401,129,16,0.5375,0.1409,10,42,126,18,0,0,9,0.1047,10.47,32.17,3.11,0,0,Group Stage,Stephen Antunes Eustáquio,Eustáquio → Davies
2022,3857269,Brazil vs Switzerland,2022-11-28,group,Brazil,Switzerland,1,0,W,507,135,16,0.5625,0.1706,31,40,119,9,1,0,2,0.0789,7.89,26.63,3.76,1,1,Quarter-final,Marcos Aoás Corrêa,Silva → Corrêa
2022,3857269,Brazil vs Switzerland,2022-11-28,group,Switzerland,Brazil,0,1,L,428,116,16,0.4833,0.16,22,24,101,5,0,0,0,0.0561,5.61,27.1,3.69,1,0,Round of 16,Manuel Obafemi Akanji,Sommer → Akanji
2022,3869321,Netherlands vs Argentina,2022-12-09,QF,Netherlands,Argentina,2,2,D,572,144,15,0.6857,0.1435,26,50,197,4,2,0,2,0.0874,8.74,25.17,3.97,1,1,Quarter-final,Jurriën David Norman Timber,Timber → Dijk
2022,3869321,Netherlands vs Argentina,2022-12-09,QF,Argentina,Netherlands,2,2,D,531,147,17,0.5404,0.1365,19,21,134,10,1,1,2,0.0395,3.95,27.68,3.61,1,1,Final,Nicolás Hernán Otamendi,Otamendi → Romero
2022,3857292,Costa Rica vs Germany,2022-12-01,group,Costa Rica,Germany,2,4,L,284,110,16,0.4583,0.2095,11,13,96,4,0,0,3,0.0458,4.58,38.73,2.58,0,0,Group Stage,Joel Nathaniel Campbell Samuels,Mora → Samuels
2022,3857292,Costa Rica vs Germany,2022-12-01,group,Germany,Costa Rica,4,2,W,669,146,16,0.6083,0.1689,28,79,205,21,4,2,10,0.1181,11.81,21.82,4.58,0,0,Group Stage,Joshua Kimmich,Kimmich → Süle
2022,3857295,Japan vs Costa Rica,2022-11-27,group,Japan,Costa Rica,0,1,L,527,117,16,0.4875,0.2049,29,49,137,7,0,0,1,0.093,9.3,22.2,4.5,1,0,Round of 16,Maya Yoshida,Itakura → Yoshida
2022,3857295,Japan vs Costa Rica,2022-11-27,group,Costa Rica,Japan,1,0,W,374,98,14,0.5385,0.1684,16,12,85,1,1,0,0,0.0321,3.21,26.2,3.82,0,0,Group Stage,Francisco Javier Calvo Quesada,Quesada → Manley
2022,3869685,Argentina vs France,2022-12-18,Final,Argentina,France,3,3,D,560,129,17,0.4743,0.1455,18,36,164,14,1,1,6,0.0643,6.43,23.04,4.34,1,1,Final,Enzo Fernandez,Otamendi → Romero
2022,3869685,Argentina vs France,2022-12-18,Final,France,Argentina,3,3,D,434,143,17,0.5257,0.1221,16,34,126,3,1,0,1,0.0783,7.83,32.95,3.03,1,1,Final,Raphaël Varane,Varane → Upamecano
2022,3869684,Croatia vs Morocco,2022-12-17,3rd,Croatia,Morocco,2,1,W,439,112,14,0.6154,0.1435,16,36,133,6,2,0,2,0.082,8.2,25.51,3.92,1,1,3rd Place,Mateo Kovačić,Šutalo → Gvardiol
2022,3869684,Croatia vs Morocco,2022-12-17,3rd,Morocco,Croatia,1,2,L,431,144,16,0.6,0.1346,21,27,117,7,0,0,4,0.0626,6.26,33.41,2.99,1,1,3rd Place,Achraf Hakimi Mouh,Mouh → Ziyech
2022,3857256,Serbia vs Switzerland,2022-12-02,group,Serbia,Switzerland,2,3,L,407,125,16,0.5208,0.1609,17,35,118,8,1,1,5,0.086,8.6,30.71,3.26,0,0,Group Stage,Strahinja Pavlović,Milenković → Lukić
2022,3857256,Serbia vs Switzerland,2022-12-02,group,Switzerland,Serbia,3,2,W,346,108,14,0.5934,0.1404,13,30,112,7,3,1,4,0.0867,8.67,31.21,3.2,1,0,Round of 16,Granit Xhaka,Akanji → Xhaka
2022,3869151,Argentina vs Australia,2022-12-03,R16,Argentina,Australia,2,1,W,646,133,16,0.5542,0.1393,21,45,126,9,1,3,1,0.0697,6.97,20.59,4.86,1,1,Final,Enzo Fernandez,Otamendi → Acuña
2022,3869151,Argentina vs Australia,2022-12-03,R16,Australia,Argentina,1,2,L,384,115,15,0.5476,0.1621,17,23,108,3,0,0,3,0.0599,5.99,29.95,3.34,1,0,Round of 16,Kye Rowles,Rowles → Souttar
2022,3857257,Australia vs Denmark,2022-11-30,group,Australia,Denmark,1,0,W,219,92,15,0.4381,0.121,8,22,85,6,1,1,1,0.1005,10.05,42.01,2.38,1,0,Round of 16,Aziz Eraltay Behich,Goodwin → Behich
2022,3857257,Australia vs Denmark,2022-11-30,group,Denmark,Australia,0,1,L,590,145,16,0.6042,0.1653,27,53,163,11,0,0,3,0.0898,8.98,24.58,4.07,0,0,Group Stage,Joachim Andersen,Christensen → Andersen
2022,3857258,Brazil vs Serbia,2022-11-24,group,Brazil,Serbia,2,0,W,539,125,16,0.5208,0.141,19,52,151,12,1,3,2,0.0965,9.65,23.19,4.31,1,1,Quarter-final,Alex Sandro Lobo Silva,Silva → Silva
2022,3857258,Brazil vs Serbia,2022-11-24,group,Serbia,Brazil,0,2,L,351,135,16,0.5625,0.1125,13,25,90,3,0,0,1,0.0712,7.12,38.46,2.6,0,0,Group Stage,Milos Veljkovic,Veljkovic → Milenković
2022,3857288,Tunisia vs Australia,2022-11-26,group,Tunisia,Australia,0,1,L,406,128,15,0.6095,0.1552,21,30,123,10,0,0,5,0.0739,7.39,31.53,3.17,0,0,Group Stage,Yassine Meriah,Bronn → Meriah
2022,3857288,Tunisia vs Australia,2022-11-26,group,Australia,Tunisia,1,0,W,274,103,16,0.4292,0.1223,12,29,96,5,0,0,3,0.1058,10.58,37.59,2.66,1,0,Round of 16,Aaron Mooy,Irvine → Mooy
2022,3857267,Ecuador vs Senegal,2022-11-29,group,Ecuador,Senegal,1,2,L,362,101,15,0.481,0.2058,24,23,108,5,0,0,4,0.0635,6.35,27.9,3.58,0,0,Group Stage,Piero Martín Hincapié Reyna,Caicedo → Reyna
2022,3857267,Ecuador vs Senegal,2022-11-29,group,Senegal,Ecuador,2,1,W,213,98,13,0.6282,0.1221,7,24,79,6,0,1,5,0.1127,11.27,46.01,2.17,1,0,Round of 16,Youssouf Sabaly,Jakobs → Sarr
2022,3857287,Uruguay vs South Korea,2022-11-24,group,Uruguay,South Korea,0,0,D,475,115,15,0.5476,0.1421,23,44,121,8,0,0,5,0.0926,9.26,24.21,4.13,0,0,Group Stage,Rodrigo Bentancur Colmán,Silva → Leal
2022,3857287,Uruguay vs South Korea,2022-11-24,group,South Korea,Uruguay,0,0,D,351,109,14,0.5989,0.1339,11,29,92,7,0,0,1,0.0826,8.26,31.05,3.22,1,0,Round of 16,In-Beom Hwang,Kim → Hwang
2022,3869486,Morocco vs Portugal,2022-12-10,QF,Morocco,Portugal,1,0,W,184,85,13,0.5449,0.1475,12,9,67,7,1,0,2,0.0489,4.89,46.2,2.16,1,1,3rd Place,Achraf Hakimi Mouh,Mouh → Ziyech
2022,3869486,Morocco vs Portugal,2022-12-10,QF,Portugal,Morocco,0,1,L,616,128,16,0.5333,0.1485,22,63,163,10,0,0,5,0.1023,10.23,20.78,4.81,1,1,Quarter-final,Kléper Laveran Lima Ferreira,Dias → Ferreira
