tournament_year,match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,top_player_reliance,top_connection_count,final_third_entries,progressive_passes,key_passes,goal_assists,through_balls,crosses,final_third_entry_share,final_third_entries_per_100_passes,connections_per_100_passes,passes_per_connection,advanced_from_group,reached_qf,stage_reached,most_involved_player,top_connection
2022,3857286,Qatar vs Ecuador,2022-11-20,group,Qatar,Ecuador,0,2,L,382,93,13,0.5962,0.1675,24,25,93,5,0,0,3,0.0654,6.54,24.35,4.11,0,0,Group Stage,Boualem Khoukhi,Khoukhi → Fadlalla
2022,3857286,Qatar vs Ecuador,2022-11-20,group,Ecuador,Qatar,2,0,W,432,108,14,0.5934,0.1657,25,19,101,3,1,1,3,0.044,4.4,25.0,4.0,0,0,Group Stage,Jhegson Sebastián Méndez Carabalí,Carabalí → Reyna
2022,3857300,Argentina vs Saudi Arabia,2022-11-22,group,Argentina,Saudi Arabia,1,2,L,542,124,14,0.6813,0.1524,18,35,130,10,0,4,7,0.0646,6.46,22.88,4.37,1,1,Final,Nicolás Hernán Otamendi,Otamendi → Romero
2022,3857300,Argentina vs Saudi Arabia,2022-11-22,group,Saudi Arabia,Argentina,2,1,W,197,89,15,0.4238,0.1421,6,13,52,0,1,0,1,0.066,6.6,45.18,2.21,0,0,Group Stage,Mohammed Kanoo,Al-Tambakti → Al-Malki
2022,3857299,South Korea vs Ghana,2022-11-28,group,South Korea,Ghana,2,3,L,499,119,14,0.6538,0.1575,21,50,149,12,2,0,13,0.1002,10.02,23.85,4.19,1,0,Round of 16,In-Beom Hwang,Kim → Hwang
2022,3857299,South Korea vs Ghana,2022-11-28,group,Ghana,South Korea,3,2,W,266,87,14,0.478,0.1601,14,15,64,2,1,0,3,0.0564,5.64,32.71,3.06,0,0,Group Stage,Thomas Teye Partey,Amartey → Partey
2022,3857293,Ghana vs Uruguay,2022-12-02,group,Ghana,Uruguay,0,2,L,384,111,15,0.5286,0.1617,14,36,122,5,0,0,1,0.0938,9.38,28.91,3.46,0,0,Group Stage,Thomas Teye Partey,Partey → Samed
2022,3857293,Ghana vs Uruguay,2022-12-02,group,Uruguay,Ghana,2,0,W,364,126,16,0.525,0.1717,13,38,114,8,1,3,3,0.1044,10.44,34.62,2.89,0,0,Group Stage,Federico Santiago Valverde Dipetta,Dipetta → Olivera
2022,3857291,Spain vs Costa Rica,2022-11-23,group,Spain,Costa Rica,7,0,W,1009,148,16,0.6167,0.1378,40,64,239,9,3,2,3,0.0634,6.34,14.67,6.82,1,0,Round of 16,Aymeric Laporte,Cascante → Laporte
2022,3857291,Spain vs Costa Rica,2022-11-23,group,Costa Rica,Spain,0,7,L,172,106,16,0.4417,0.1192,6,11,59,0,0,0,1,0.064,6.4,61.63,1.62,0,0,Group Stage,Joel Nathaniel Campbell Samuels,Mora → Samuels
2022,3857281,Croatia vs Canada,2022-11-27,group,Croatia,Canada,4,1,W,411,108,16,0.45,0.1314,17,31,113,8,4,1,6,0.0754,7.54,26.28,3.81,1,1,3rd Place,Marcelo Brozović,Modrić → Brozović
2022,3857281,Croatia vs Canada,2022-11-27,group,Canada,Croatia,1,4,L,437,145,16,0.6042,0.1384,12,42,130,3,1,0,4,0.0961,9.61,33.18,3.01,0,0,Group Stage,Kamal Miller,Vitoria → Johnston
2022,3857280,Cameroon vs Brazil,2022-12-02,group,Cameroon,Brazil,1,0,W,254,90,14,0.4945,0.1614,9,31,85,6,1,1,2,0.122,12.2,35.43,2.82,0,0,Group Stage,André-Frank Zambo Anguissa,Mboka → Ebosse
2022,3857280,Cameroon vs Brazil,2022-12-02,group,Brazil,Cameroon,0,1,L,512,138,16,0.575,0.1299,27,33,146,16,0,0,8,0.0645,6.45,26.95,3.71,1,1,Quarter-final,Éder Gabriel Militão,Nascimento → Militão
2022,3857279,France vs Australia,2022-11-22,group,France,Australia,4,1,W,680,127,15,0.6048,0.1581,24,63,146,15,4,4,14,0.0926,9.26,18.68,5.35,1,1,Final,Dayotchanculle Upamecano,Konaté → Upamecano
2022,3857279,France vs Australia,2022-11-22,group,Australia,France,1,4,L,394,115,16,0.4792,0.1497,20,21,101,1,1,0,3,0.0533,5.33,29.19,3.43,1,0,Round of 16,Aaron Mooy,Behich → Rowles
2022,3857262,South Korea vs Portugal,2022-12-02,group,South Korea,Portugal,2,1,W,309,110,14,0.6044,0.1537,11,24,90,6,1,1,2,0.0777,7.77,35.6,2.81,1,0,Round of 16,Woo-Young Jung,Kim → Kim
2022,3857262,South Korea vs Portugal,2022-12-02,group,Portugal,South Korea,1,2,L,534,137,16,0.5708,0.1339,18,52,132,7,1,1,5,0.0974,9.74,25.66,3.9,1,1,Quarter-final,João Pedro Cavaco Cancelo,Cancelo → Ferreira
