match_id,team,player,total_passes_sent,total_passes_received,weighted_degree
3857257,Denmark,Jesper Lindstrøm,20,33,53
3857258,Brazil,Alex Sandro Lobo Silva,83,69,152
3857258,Brazil,Alisson Ramsés Becker,20,6,26
3857258,Brazil,Antony Matheus dos Santos,15,19,34
3857258,Brazil,Carlos Henrique Casimiro,57,51,108
3857258,Brazil,Danilo Luiz da Silva,72,67,139
3857258,Brazil,Frederico Rodrigues Santos,14,14,28
3857258,Brazil,Gabriel Teodoro Martinelli Silva,1,4,5
3857258,Brazil,Lucas Tolentino Coelho de Lima,30,34,64
3857258,Brazil,Marcos Aoás Corrêa,62,52,114
3857258,Brazil,Neymar da Silva Santos Junior,36,58,94
3857258,Brazil,Richarlison de Andrade,12,17,29
3857258,Brazil,Rodrygo Silva de Goes,12,15,27
3857258,Brazil,Thiago Emiliano da Silva,69,62,131
3857258,Brazil,Vinícius José Paixão de Oliveira Júnior,21,29,50
3857258,Brazil,Gabriel Fernando de Jesus,7,7,14
3857258,Brazil,Raphael Dias Belloli,28,35,63
3857258,Serbia,Aleksandar Mitrović,17,19,36
3857258,Serbia,Andrija Živković,20,20,40
3857258,Serbia,Dušan Tadić,20,31,51
3857258,Serbia,Ivan Ilić,19,16,35
3857258,Serbia,Nemanja Gudelj,29,30,59
3857258,Serbia,Saša Lukić,28,25,53
3857258,Serbia,Sergej Milinković-Savić,28,36,64
3857258,Serbia,Strahinja Pavlović,31,34,65
3857258,Serbia,Filip Mladenović,19,15,34
3857258,Serbia,Milos Veljkovic,40,39,79
3857258,Serbia,Nikola Milenković,42,32,74
3857258,Serbia,Vanja Milinković Savić,35,23,58
3857258,Serbia,Darko Lazović,7,8,15
3857258,Serbia,Dušan Vlahović,4,7,11
3857258,Serbia,Nemanja Maksimović,5,5,10
3857258,Serbia,Nemanja Radonjić,7,11,18
3857259,Cameroon,André-Frank Zambo Anguissa,20,17,37
3857259,Cameroon,Bryan Mbeumo,13,23,36
3857259,Cameroon,Christian Mougang Bassogog,5,10,15
3857259,Cameroon,Gaël Ondoua,10,6,16
3857259,Cameroon,Jean-Eric Maxim Choupo-Moting,19,20,39
3857259,Cameroon,Karl Brillant Toko Ekambi,7,9,16
3857259,Cameroon,Martin Hongla Yma II,22,23,45
3857259,Cameroon,Ngoran Suiru Fai Collins,44,37,81
3857259,Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,27,28,55
3857259,Cameroon,Pierre Kunde Malong,17,21,38
3857259,Cameroon,Vincent Paté Aboubakar,7,9,16
3857259,Cameroon,Jean-Charles Castelletto,24,21,45
3857259,Cameroon,Devis Rogers Epassy Mboka,26,18,44
3857259,Cameroon,Nouhou Tolo,25,24,49
3857259,Cameroon,Georges-Kévin Nkoudou Mbida,6,6,12
3857259,Cameroon,Samuel Yves Oum Gwet,4,4,8
3857259,Serbia,Aleksandar Mitrović,18,23,41
3857259,Serbia,Andrija Živković,32,29,61
3857259,Serbia,Dušan Tadić,40,54,94
3857259,Serbia,Filip Kostić,38,44,82
3857259,Serbia,Nemanja Maksimović,29,25,54
3857259,Serbia,Saša Lukić,62,60,122
3857259,Serbia,Sergej Milinković-Savić,36,46,82
3857259,Serbia,Stefan Mitrović,17,17,34
3857259,Serbia,Milos Veljkovic,30,26,56
3857259,Serbia,Nikola Milenković,43,31,74
3857259,Serbia,Filip Đuričić,3,2,5
3857259,Serbia,Marko Grujić,14,15,29
3857259,Serbia,Nemanja Radonjić,4,4,8
3857259,Serbia,Strahinja Pavlović,24,22,46
3857259,Serbia,Srđan Babić,11,12,23
3857259,Serbia,Vanja Milinković Savić,27,18,45
3857260,Mexico,Carlos Alberto Rodríguez Gómez,3,8,11
3857260,Mexico,Edson Omar Álvarez Velázquez,41,35,76
3857260,Mexico,Hirving Rodrigo Lozano Bahena,19,38,57
3857260,Mexico,Carlos Uriel Antuna Romero,4,9,13
3857260,Mexico,Jorge Eduardo Sánchez Ramos,29,23,52
3857260,Mexico,Luis Gerardo Chávez Magallón,38,40,78
3857260,Mexico,César Jasib Montes Castro,57,55,112
3857260,Mexico,Francisco Guillermo Ochoa Magaña,38,21,59
3857260,Mexico,Henry Josué Martín Mex,7,14,21
3857260,Mexico,Héctor Alfredo Moreno Herrera,55,42,97
3857260,Mexico,Jesús Daniel Gallardo Vasconcelos,38,28,66
