match_id,year,team,player_a,player_b,remaining_nodes,player_a_efficiency_damage,player_b_efficiency_damage,joint_efficiency_damage,additive_expected_efficiency_damage,interaction_effect_efficiency,player_a_progressive_capacity_damage,player_b_progressive_capacity_damage,joint_progressive_capacity_damage,additive_expected_progressive_damage,interaction_effect_progressive
3857254,2022,Denmark,Andreas Christensen,Andreas Evald Cornelius,13,0.0008594757198109,-0.0249247958745165,-0.022776106574989307,-0.0240653201547056,0.0012892135797162932,0.1677018633540372,0.0559006211180124,0.2236024844720497,0.2236024844720496,8.326672684688674e-17
3857254,2022,Denmark,Andreas Christensen,Andreas Skov Olsen,13,0.0008594757198109,0.0008594757198109,0.007305543618392755,0.0017189514396218,0.005586592178770955,0.1677018633540372,0.1366459627329192,0.30434782608695654,0.30434782608695643,1.1102230246251565e-16
3857254,2022,Denmark,Andreas Christensen,Christian Dannemann Eriksen,13,0.0008594757198109,0.0266437473141382,0.029866781263429332,0.0275032230339491,0.0023635582294802317,0.1677018633540372,0.217391304347826,0.35403726708074534,0.3850931677018632,-0.03105590062111785
3857254,2022,Denmark,Andreas Christensen,Jesper Lindstrøm,13,0.0008594757198109,-0.0378169316716802,-0.03781693167168027,-0.036957455951869306,-0.0008594757198109662,0.1677018633540372,0.0248447204968944,0.19254658385093168,0.1925465838509316,8.326672684688674e-17
3857254,2022,Denmark,Andreas Christensen,Joachim Andersen,13,0.0008594757198109,0.0266437473141382,0.029866781263429332,0.0275032230339491,0.0023635582294802317,0.1677018633540372,0.1428571428571428,0.3105590062111801,0.31055900621118,1.1102230246251565e-16
3857254,2022,Denmark,Andreas Christensen,Joakim Mæhle,13,0.0008594757198109,0.0201976794155564,0.02234636871508372,0.0210571551353673,0.001289213579716418,0.1677018633540372,0.2298136645962732,0.36024844720496896,0.3975155279503104,-0.03726708074534146
3857254,2022,Denmark,Andreas Christensen,Kasper Dolberg,13,0.0008594757198109,-0.0055865921787709,-0.007735281478298211,-0.004727116458959999,-0.0030081650193382117,0.1677018633540372,0.0869565217391304,0.2484472049689441,0.2546583850931676,-0.006211180124223531
3857254,2022,Denmark,Andreas Christensen,Kasper Schmeichel,13,0.0008594757198109,-0.0055865921787709,-0.007735281478298211,-0.004727116458959999,-0.0030081650193382117,0.1677018633540372,0.0745341614906832,0.2360248447204969,0.2422360248447204,-0.006211180124223503
3857254,2022,Denmark,Andreas Christensen,Mathias Jensen,13,0.0008594757198109,-0.0120326600773529,-0.015255694026643824,-0.011173184357542,-0.004082509669101824,0.1677018633540372,0.1055900621118012,0.2546583850931677,0.2732919254658384,-0.01863354037267073
3857254,2022,Denmark,Andreas Christensen,Mikkel Damsgaard,13,0.0008594757198109,0.0008594757198109,-0.00021486892995272808,0.0017189514396218,-0.001933820369574528,0.1677018633540372,0.124223602484472,0.2795031055900621,0.2919254658385092,-0.012422360248447117
3857254,2022,Denmark,Andreas Christensen,Pierre-Emile Højbjerg,13,0.0008594757198109,0.0201976794155564,0.02234636871508372,0.0210571551353673,0.001289213579716418,0.1677018633540372,0.2111801242236025,0.34782608695652173,0.3788819875776397,-0.03105590062111796
