match_id,year,team,total_players,eligible_players,targeted_player,targeted_efficiency_damage,targeted_progressive_capacity_damage,targeted_pass_involvement,targeted_betweenness,targeted_pass_involvement_rank,eligible_efficiency_damage_mean,eligible_efficiency_damage_std,eligible_progressive_damage_mean,targeted_excess_efficiency_damage,targeted_standardized_gap,targeted_to_random_ratio,targeted_damage_percentile,top1_top2_gap
7525,2018,Russia,14,14,Yuri Zhirkov,0.0194274028629857,0.2247191011235955,53,0.2642857142857143,2,2.156013462999746e-17,0.011924237003773583,0.1428571428571428,0.01942740286298568,1.6292365588538387,,100.0,0.007157464212678899
7525,2018,Saudi Arabia,14,12,Salman Mohammed Al Faraj,0.048798798798799,0.2815533980582524,140,0.1768162393162392,1,0.008946446446446406,0.01977521354707945,0.1658576051779935,0.03985235235235259,2.015267863352013,5.454545454545501,100.0,0.026276276276276496
7529,2018,Croatia,14,14,Ivan Perišić,0.0179324894514768,0.2252252252252252,68,0.063034188034188,4,2.2303587548273235e-17,0.01802532435720997,0.14285714285714282,0.01793248945147678,0.9948497511671097,,100.0,0.0
7529,2018,Nigeria,13,13,Oghenekaro Etebo,0.0252156602521565,0.2358490566037736,118,0.1054292929292929,1,-3.843079700625542e-17,0.018051055751473644,0.15384615384615383,0.02521566025215654,1.3969077819782367,,100.0,0.008626410086264101
7530,2018,Australia,14,13,Josh Risdon,0.04001554001554,0.2636363636363636,57,0.4476495726495726,6,0.0031976570438108473,0.02034014029514602,0.15314685314685308,0.03681788297172915,1.8101095881091533,12.514018691588948,100.0,0.016317016317016403
7530,2018,France,14,14,Corentin Tolisso,0.0227272727272727,0.1764705882352941,113,0.0931623931623931,1,-2.2303587548273235e-17,0.019630256652832263,0.14285714285714282,0.02272727272727272,1.1577674774819422,,100.0,0.0
7531,2018,Argentina,14,14,Faustino Marcos Alberto Rojo,0.0217391304347825,0.2046783625730994,134,0.0736416361416361,3,-7.186711543332487e-17,0.01620339114130278,0.14285714285714277,0.021739130434782573,1.3416407864998754,,100.0,0.0
7531,2018,Iceland,14,13,Emil Hallfreðsson,0.0346607669616521,0.0851063829787234,37,0.1551767676767677,2,0.004680054458815692,0.01812557324420023,0.15220949263502453,0.029980712502836408,1.6540559627502847,7.4060606060603735,100.0,0.0154867256637168
7532,2018,Denmark,14,13,Thomas Delaney,0.0559210526315794,0.1938775510204081,61,0.1136243386243386,4,0.005735492577597869,0.018948658190143214,0.15384615384615377,0.05018556005398153,2.6485020496114733,9.75000000000003,100.0,0.0383771929824566
7532,2018,Peru,14,14,Christian Alberto Cueva Bravo,0.0264900662251656,0.3423423423423423,99,0.0856837606837606,2,0.00018395879323039276,0.018753874939515733,0.14285714285714282,0.02630610743193521,1.4027025090428853,143.99999999994043,100.0,0.0
