match_id,year,team,removed_player,passes_sent,passes_received,total_pass_involvement,unique_passing_partners,progressive_passes_sent,progressive_passes_received,minutes_played,low_involvement_flag,original_nodes,original_edges,original_density,original_largest_component,original_largest_component_share,original_global_efficiency,original_progressive_passes,remaining_nodes,removed_edges,removed_density,removed_largest_component,removed_largest_component_share,removed_global_efficiency,progressive_passes_lost,density_damage,edge_damage,largest_component_damage,efficiency_damage,progressive_capacity_damage,_incident_edges_expected
3857254,2022,Denmark,Kasper Dolberg,10,16,26,9,1,13,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,13,0.6098901098901099,14,1.0,0.8571428571428571,14,-0.03287841191067004,0.10483870967741936,0.0,-0.00558659217877093,0.08695652173913043,13
3857254,2022,Denmark,Christian Dannemann Eriksen,66,67,133,14,7,28,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,26,0.5384615384615384,14,1.0,0.8296703296703297,35,0.08808933002481396,0.20967741935483872,0.0,0.02664374731413828,0.21739130434782608,26
3857254,2022,Denmark,Andreas Skov Olsen,19,30,49,10,2,20,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,15,0.5989010989010989,14,1.0,0.8516483516483516,22,-0.014267990074441636,0.12096774193548387,0.0,0.0008594757198109123,0.13664596273291926,15
3857254,2022,Denmark,Rasmus Nissen Kristensen,44,39,83,9,15,16,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,15,0.5989010989010989,14,1.0,0.8571428571428571,31,-0.014267990074441636,0.12096774193548387,0.0,-0.00558659217877093,0.19254658385093168,15
3857254,2022,Denmark,Joakim Mæhle,43,40,83,13,10,27,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,20,0.5714285714285714,14,1.0,0.8351648351648352,37,0.03225806451612911,0.16129032258064516,0.0,0.02019767941555644,0.22981366459627328,20
3857254,2022,Denmark,Pierre-Emile Højbjerg,68,68,136,13,23,11,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,23,0.554945054945055,14,1.0,0.8351648351648352,34,0.060173697270471435,0.18548387096774194,0.0,0.02019767941555644,0.2111801242236025,23
3857254,2022,Denmark,Joachim Andersen,62,58,120,14,22,1,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,25,0.5439560439560439,14,1.0,0.8296703296703297,23,0.07878411910669984,0.20161290322580644,0.0,0.02664374731413828,0.14285714285714285,25
3857254,2022,Denmark,Kasper Schmeichel,22,13,35,9,12,0,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,14,0.6043956043956044,14,1.0,0.8571428571428571,12,-0.02357320099255575,0.11290322580645161,0.0,-0.00558659217877093,0.07453416149068323,14
3857254,2022,Denmark,Andreas Christensen,78,73,151,10,24,3,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,18,0.5824175824175825,14,1.0,0.8516483516483516,27,0.013647642679900696,0.14516129032258066,0.0,0.0008594757198109123,0.16770186335403728,18
3857254,2022,Denmark,Simon Thorup Kjær,50,45,95,10,19,0,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,17,0.5879120879120879,14,1.0,0.8516483516483516,19,0.004342431761786585,0.13709677419354838,0.0,0.0008594757198109123,0.11801242236024845,17
3857254,2022,Denmark,Thomas Delaney,26,26,52,9,9,9,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,17,0.5879120879120879,14,1.0,0.8571428571428571,18,0.004342431761786585,0.13709677419354838,0.0,-0.00558659217877093,0.11180124223602485,17
3857254,2022,Denmark,Mikkel Damsgaard,22,23,45,10,9,11,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,16,0.5934065934065934,14,1.0,0.8516483516483516,20,-0.004962779156327526,0.12903225806451613,0.0,0.0008594757198109123,0.12422360248447205,16
3857254,2022,Denmark,Mathias Jensen,28,29,57,8,8,9,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,15,0.5989010989010989,14,1.0,0.8626373626373627,17,-0.014267990074441636,0.12096774193548387,0.0,-0.012032660077352902,0.10559006211180125,15
3857254,2022,Denmark,Andreas Evald Cornelius,3,12,15,6,0,9,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,8,0.6373626373626373,14,1.0,0.8736263736263736,9,-0.0794044665012406,0.06451612903225806,0.0,-0.024924795874516587,0.055900621118012424,8
3857254,2022,Denmark,Jesper Lindstrøm,3,5,8,4,0,4,,False,15,124,0.5904761904761905,15,1.0,0.8523809523809524,161,14,6,0.6483516483516484,14,1.0,0.8846153846153846,4,-0.098014888337469,0.04838709677419355,0.0,-0.03781693167168027,0.024844720496894408,6
3857254,2022,Tunisia,Dylan Daniel Mahmoud Bronn,30,31,61,10,9,7,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,15,0.3904761904761905,15,1.0,0.7079365079365085,16,0.033873343151693686,0.15463917525773196,0.0,0.01694448271111731,0.17777777777777778,15
3857254,2022,Tunisia,Yassine Meriah,44,47,91,11,14,0,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,19,0.37142857142857144,15,1.0,0.7031746031746037,14,0.08100147275405006,0.1958762886597938,0.0,0.023556963769114408,0.15555555555555556,19
3857254,2022,Tunisia,Issam Jebali,15,20,35,9,2,15,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,14,0.3952380952380952,15,1.0,0.7103174603174609,17,0.022091310751104622,0.14432989690721648,0.0,0.013638242182118843,0.18888888888888888,14
3857254,2022,Tunisia,Anis Ben Slimane,17,18,35,9,2,9,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,15,0.3904761904761905,15,1.0,0.7126984126984133,11,0.033873343151693686,0.15463917525773196,0.0,0.010332001653120372,0.12222222222222222,15
3857254,2022,Tunisia,Youssef Msakni,19,25,44,9,5,6,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,14,0.3952380952380952,15,1.0,0.7126984126984133,11,0.022091310751104622,0.14432989690721648,0.0,0.010332001653120372,0.12222222222222222,14
3857254,2022,Tunisia,Ali Abdi,27,29,56,9,11,15,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,16,0.38571428571428573,15,1.0,0.7103174603174609,26,0.045655375552282745,0.16494845360824742,0.0,0.013638242182118843,0.28888888888888886,16
3857254,2022,Tunisia,Aïssa Bilal Laïdouni,36,32,68,12,9,12,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,20,0.36666666666666664,15,1.0,0.6931746031746036,21,0.09278350515463926,0.20618556701030927,0.0,0.03744317399090819,0.23333333333333334,20
3857254,2022,Tunisia,Mohamed Dräger,23,24,47,10,4,18,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,17,0.38095238095238093,15,1.0,0.7055555555555562,22,0.05743740795287194,0.17525773195876287,0.0,0.020250723240115783,0.24444444444444444,17
3857254,2022,Tunisia,Montassar Omar Talbi,38,33,71,11,10,0,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,17,0.38095238095238093,15,1.0,0.6976190476190481,10,0.05743740795287194,0.17525773195876287,0.0,0.03127152500344417,0.1111111111111111,17
3857254,2022,Tunisia,Ellyes Joris Skhiri,30,24,54,8,11,4,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,15,0.3904761904761905,15,1.0,0.7174603174603181,15,0.033873343151693686,0.15463917525773196,0.0,0.0037195205951232784,0.16666666666666666,15
3857254,2022,Tunisia,Aymen Dahmen,25,19,44,8,11,0,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,13,0.4,15,1.0,0.7174603174603181,11,0.010309278350515427,0.13402061855670103,0.0,0.0037195205951232784,0.12222222222222222,13
3857254,2022,Tunisia,Naïm Sliti,6,8,14,7,1,2,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,9,0.41904761904761906,13,0.8666666666666667,0.6301587301587304,3,-0.03681885125184095,0.09278350515463918,0.1333333333333333,0.12494833999173492,0.03333333333333333,9
3857254,2022,Tunisia,Hannibal Mejbri,2,1,3,3,0,0,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,3,0.44761904761904764,15,1.0,0.7428571428571434,0,-0.10751104565537559,0.030927835051546393,0.0,-0.03154704504752707,0.0,3
3857254,2022,Tunisia,Taha Yassine Khenissi,1,2,3,3,0,2,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,3,0.44761904761904764,15,1.0,0.7404761904761911,2,-0.10751104565537559,0.030927835051546393,0.0,-0.028240804518528596,0.022222222222222223,3
3857254,2022,Tunisia,Wajdi Kechrida,1,0,1,1,0,0,,True,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,1,0.45714285714285713,15,1.0,0.7730158730158736,0,-0.1310751104565537,0.010309278350515464,0.0,-0.07342609174817451,0.0,1
3857254,2022,Tunisia,Ferjani Sassi,1,2,3,2,1,0,,False,16,97,0.4041666666666667,16,1.0,0.7201388888888896,90,15,3,0.44761904761904764,14,0.9333333333333333,0.7126984126984128,1,-0.10751104565537559,0.030927835051546393,0.06666666666666665,0.01033200165312099,0.011111111111111112,3
3857255,2022,Spain,Pablo Martín Páez Gavira,41,41,82,10,3,12,,False,16,128,0.5333333333333333,16,1.0,0.8083333333333333,195,15,17,0.5285714285714286,15,1.0,0.8047619047619048,15,0.008928571428571397,0.1328125,0.0,0.004418262150220897,0.07692307692307693,17
3857255,2022,Spain,Pau Francisco Torres,171,178,349,13,34,9,,False,16,128,0.5333333333333333,16,1.0,0.8083333333333333,195,15,24,0.49523809523809526,15,1.0,0.7904761904761904,43,0.07142857142857138,0.1875,0.0,0.022091310751104622,0.2205128205128205,24
3857255,2022,Spain,César Azpilicueta Tanco,70,65,135,8,12,14,,False,16,128,0.5333333333333333,16,1.0,0.8083333333333333,195,15,15,0.5380952380952381,15,1.0,0.8142857142857143,26,-0.008928571428571397,0.1171875,0.0,-0.007363770250368162,0.13333333333333333,15
3857255,2022,Spain,Rodrigo Hernández Cascante,206,193,399,14,61,11,,False,16,128,0.5333333333333333,16,1.0,0.8083333333333333,195,15,25,0.49047619047619045,15,1.0,0.7857142857142857,72,0.08035714285714289,0.1953125,0.0,0.027982326951399152,0.36923076923076925,25
3857255,2022,Spain,Pedro González López,116,121,237,14,28,9,,False,16,128,0.5333333333333333,16,1.0,0.8083333333333333,195,15,24,0.49523809523809526,15,1.0,0.7857142857142857,37,0.07142857142857138,0.1875,0.0,0.027982326951399152,0.18974358974358974,24
3857255,2022,Spain,Sergio Busquets i Burgos,69,63,132,14,9,12,,False,16,128,0.5333333333333333,16,1.0,0.8083333333333333,195,15,24,0.49523809523809526,15,1.0,0.7857142857142857,21,0.07142857142857138,0.1875,0.0,0.027982326951399152,0.1076923076923077,24
3857255,2022,Spain,Álvaro Borja Morata Martín,11,17,28,9,0,13,,False,16,128,0.5333333333333333,16,1.0,0.8083333333333333,195,15,14,0.5428571428571428,15,1.0,0.8095238095238095,13,-0.017857142857142794,0.109375,0.0,-0.0014727540500736325,0.06666666666666667,14
