match_id,team,player,passes_sent,passes_received,weighted_in_degree,weighted_out_degree,total_weighted_degree,betweenness_centrality,unique_passing_partners,progressive_passes_sent,progressive_passes_received
3857256,Switzerland,Ruben Vargas,17,23,23,17,40,0.0815018315018315,8,5,17
3857256,Switzerland,Ricardo Iván Rodríguez Araya,31,36,36,31,67,0.08072344322344323,12,7,20
3857256,Switzerland,Manuel Obafemi Akanji,46,41,41,46,87,0.0018315018315018315,10,18,3
3857256,Switzerland,Granit Xhaka,52,45,45,52,97,0.1501831501831502,14,20,7
3857256,Switzerland,Edimilson Fernandes,13,11,11,13,24,0.05032051282051282,7,3,2
3857256,Switzerland,Denis Lemi Zakaria Lako Lado,8,5,5,8,13,0.1863095238095238,7,4,0
3857256,Switzerland,Christian Fassnacht,8,8,8,8,16,0.04386446886446887,5,1,4
3857256,Switzerland,Noah Okafor,0,1,1,0,1,0.0,1,0,1
3857256,Serbia,Andrija Živković,21,26,26,21,47,0.09793650793650795,10,3,15
3857256,Serbia,Saša Lukić,53,47,47,53,100,0.012698412698412698,15,13,6
3857256,Serbia,Nikola Milenković,51,52,52,51,103,0.23769841269841271,14,11,8
3857256,Serbia,Sergej Milinković-Savić,26,23,23,26,49,0.18011904761904762,12,5,8
3857256,Serbia,Filip Kostić,35,30,30,35,65,0.010714285714285713,10,9,19
3857256,Serbia,Strahinja Pavlović,66,65,65,66,131,0.06888888888888889,14,30,5
3857256,Serbia,Milos Veljkovic,29,26,26,29,55,0.0037301587301587303,9,10,2
3857256,Serbia,Vanja Milinković Savić,30,24,24,30,54,0.09595238095238096,11,17,0
3857256,Serbia,Dušan Tadić,28,34,34,28,62,0.03456349206349207,12,8,14
3857256,Serbia,Aleksandar Mitrović,17,24,24,17,41,0.05293650793650794,10,4,17
3857256,Serbia,Dušan Vlahović,3,11,11,3,14,0.04317460317460318,7,0,10
3857256,Serbia,Luka Jović,7,12,12,7,19,0.006587301587301588,8,0,8
3857256,Serbia,Nemanja Gudelj,17,12,12,17,29,0.06888888888888889,9,3,1
3857256,Serbia,Nemanja Maksimović,17,11,11,17,28,0.0965079365079365,9,4,1
3857256,Serbia,Nemanja Radonjić,5,7,7,5,12,0.0453968253968254,7,1,3
3857256,Serbia,Filip Đuričić,2,3,3,2,5,0.05452380952380952,5,0,1
3857257,Denmark,Martin Braithwaite Christensen,10,13,13,10,23,0.08910430839002269,9,1,10
3857257,Denmark,Christian Dannemann Eriksen,69,60,60,69,129,0.045328798185941044,15,18,11
3857257,Denmark,Joakim Mæhle,40,41,41,40,81,0.09671201814058958,10,9,14
3857257,Denmark,Andreas Christensen,89,79,79,89,168,0.09603174603174602,15,26,1
3857257,Denmark,Joachim Andersen,95,100,100,95,195,0.02993197278911565,14,35,5
3857257,Denmark,Pierre-Emile Højbjerg,71,51,51,71,122,0.04834467120181406,15,21,9
3857257,Denmark,Rasmus Nissen Kristensen,39,35,35,39,74,0.051757369614512466,9,13,8
3857257,Denmark,Mathias Jensen,25,34,34,25,59,0.041405895691609976,11,3,17
3857257,Denmark,Kasper Schmeichel,34,26,26,34,60,0.019331065759637188,10,18,0
3857257,Denmark,Andreas Skov Olsen,25,33,33,25,58,0.07781179138321995,13,3,19
3857257,Denmark,Jesper Lindstrøm,20,33,33,20,53,0.10273809523809527,13,3,19
3857257,Denmark,Alexander Hartmann Bah,33,33,33,33,66,0.0325453514739229,9,5,22
3857257,Denmark,Mikkel Damsgaard,12,12,12,12,24,0.2112698412698413,10,6,5
3857257,Denmark,Kasper Dolberg,4,9,9,4,13,0.018979591836734696,7,1,5
3857257,Denmark,Robert Skov,16,17,17,16,33,0.01671201814058957,7,1,9
3857257,Denmark,Andreas Evald Cornelius,8,14,14,8,22,0.017148526077097506,9,0,9
3857257,Australia,Miloš Degenek,22,16,16,22,38,0.04611459968602826,10,13,6
3857257,Australia,Mitchell Thomas Duke,13,23,23,13,36,0.2319335426478284,11,2,17
3857257,Australia,Mathew Ryan,24,12,12,24,36,0.013736263736263738,9,19,0
3857257,Australia,Aziz Eraltay Behich,29,24,24,29,53,0.13788592360020932,12,8,5
3857257,Australia,Kye Rowles,21,15,15,21,36,0.12026425954997386,10,9,0
3857257,Australia,Harry Souttar,14,7,7,14,21,0.005363683935112506,10,8,1
3857257,Australia,Mathew Leckie,18,31,31,18,49,0.011446886446886446,11,4,19
3857257,Australia,Riley McGree,11,18,18,11,29,0.1956828885400314,9,3,11
3857257,Australia,Jackson Irvine,21,19,19,21,40,0.045303506017791734,9,7,3
3857257,Australia,Craig Goodwin,12,17,17,12,29,0.044740973312401885,9,3,10
3857257,Australia,Aaron Mooy,23,22,22,23,45,0.08613291470434327,11,7,4
3857257,Australia,Keanu Baccus,7,9,9,7,16,0.19288330716902144,8,1,5
3857257,Australia,Bailey Wright,1,2,2,1,3,0.016483516483516484,3,1,0
3857257,Australia,Jamie MacLaren,2,4,4,2,6,0.0,3,0,4
3857257,Australia,Ajdin Hrustic,1,0,0,1,1,0.0,1,0,0
3857258,Brazil,Richarlison de Andrade,12,17,17,12,29,0.06365079365079365,8,1,13
3857258,Brazil,Neymar da Silva Santos Junior,36,58,58,36,94,0.07261904761904762,11,7,23
3857258,Brazil,Alex Sandro Lobo Silva,83,69,69,83,152,0.10253968253968256,14,30,15
3857258,Brazil,Carlos Henrique Casimiro,57,51,51,57,108,0.04682539682539683,13,17,4
3857258,Brazil,Thiago Emiliano da Silva,69,62,62,69,131,0.13349206349206352,12,29,1
3857258,Brazil,Alisson Ramsés Becker,20,6,6,20,26,0.06960317460317463,6,8,0
3857258,Brazil,Marcos Aoás Corrêa,62,52,52,62,114,0.02023809523809524,10,15,2
3857258,Brazil,Danilo Luiz da Silva,72,67,67,72,139,0.04619047619047619,12,19,15
3857258,Brazil,Lucas Tolentino Coelho de Lima,30,34,34,30,64,0.06626984126984127,10,7,6
3857258,Brazil,Vinícius José Paixão de Oliveira Júnior,21,29,29,21,50,0.011825396825396827,6,1,21
3857258,Brazil,Raphael Dias Belloli,28,35,35,28,63,0.1261904761904762,11,5,22
3857258,Brazil,Frederico Rodrigues Santos,14,14,14,14,28,0.27706349206349207,8,4,6
3857258,Brazil,Rodrygo Silva de Goes,12,15,15,12,27,0.1573015873015873,9,3,7
3857258,Brazil,Antony Matheus dos Santos,15,19,19,15,34,0.009603174603174603,8,3,10
3857258,Brazil,Gabriel Fernando de Jesus,7,7,7,7,14,0.07587301587301588,5,2,3
3857258,Brazil,Gabriel Teodoro Martinelli Silva,1,4,4,1,5,0.019999999999999997,3,0,3
3857258,Serbia,Saša Lukić,28,25,25,28,53,0.024679487179487175,11,7,1
3857258,Serbia,Milos Veljkovic,40,39,39,40,79,0.1492019884877028,13,7,7
3857258,Serbia,Nemanja Gudelj,29,30,30,29,59,0.013412698412698413,10,5,4
3857258,Serbia,Strahinja Pavlović,31,34,34,31,65,0.029365079365079365,11,9,7
3857258,Serbia,Filip Mladenović,19,15,15,19,34,0.07522675736961451,11,2,5
3857258,Serbia,Sergej Milinković-Savić,28,36,36,28,64,0.1514960172103029,15,8,9
3857258,Serbia,Nikola Milenković,42,32,32,42,74,0.0294842723414152,12,13,2
3857258,Serbia,Aleksandar Mitrović,17,19,19,17,36,0.06664965986394558,10,2,12
3857258,Serbia,Andrija Živković,20,20,20,20,40,0.04857462643176928,9,3,9
3857258,Serbia,Dušan Tadić,20,31,31,20,51,0.12382914704343276,13,2,14
3857258,Serbia,Vanja Milinković Savić,35,23,23,35,58,0.11684690970405257,13,26,0
3857258,Serbia,Ivan Ilić,19,16,16,19,35,0.06307794057794058,12,2,2
3857258,Serbia,Nemanja Radonjić,7,11,11,7,18,0.007188208616780045,6,1,7
3857258,Serbia,Dušan Vlahović,4,7,7,4,11,0.030555555555555558,7,1,6
3857258,Serbia,Darko Lazović,7,8,8,7,15,0.053098290598290604,6,1,4
3857258,Serbia,Nemanja Maksimović,5,5,5,5,10,0.04448732484446771,7,1,1
3857259,Serbia,Aleksandar Mitrović,18,23,23,18,41,0.0920408163265306,11,2,15
3857259,Serbia,Saša Lukić,62,60,60,62,122,0.02412698412698413,14,9,13
3857259,Serbia,Strahinja Pavlović,24,22,22,24,46,0.0625170068027211,10,12,1
3857259,Serbia,Milos Veljkovic,30,26,26,30,56,0.03531746031746032,11,13,2
3857259,Serbia,Nikola Milenković,43,31,31,43,74,0.04321995464852608,13,20,2
3857259,Serbia,Andrija Živković,32,29,29,32,61,0.017830687830687836,8,11,14
3857259,Serbia,Filip Kostić,38,44,44,38,82,0.01773620559334845,12,9,22
3857259,Serbia,Vanja Milinković Savić,27,18,18,27,45,0.01813303099017385,9,10,0
3857259,Serbia,Sergej Milinković-Savić,36,46,46,36,82,0.005158730158730159,9,11,16
3857259,Serbia,Nemanja Maksimović,29,25,25,29,54,0.19375283446712016,13,8,6
3857259,Serbia,Dušan Tadić,40,54,54,40,94,0.14054421768707484,15,11,26
3857259,Serbia,Stefan Mitrović,17,17,17,17,34,0.11058201058201059,10,3,1
3857259,Serbia,Srđan Babić,11,12,12,11,23,0.008272864701436131,7,3,2
3857259,Serbia,Marko Grujić,14,15,15,14,29,0.2753968253968254,11,6,6
3857259,Serbia,Nemanja Radonjić,4,4,4,4,8,0.04925170068027212,5,0,3
3857259,Serbia,Filip Đuričić,3,2,2,3,5,0.0,2,2,1
3857259,Cameroon,Ngoran Suiru Fai Collins,44,37,37,44,81,0.008492063492063492,13,15,9
3857259,Cameroon,Martin Hongla Yma II,22,23,23,22,45,0.04404761904761905,9,3,3
3857259,Cameroon,Devis Rogers Epassy Mboka,26,18,18,26,44,0.004761904761904762,8,21,0
3857259,Cameroon,Jean-Charles Castelletto,24,21,21,24,45,0.08341269841269841,11,10,4
