feature,mean_qf,mean_elim,effect_size_rbc,p_value,significant
top_player_reliance,0.14479791666666667,0.14752125,-0.11067708333333337,0.29673996549442483,False
completed_passes,399.5416666666667,387.3625,0.10026041666666674,0.3446469233238779,False
final_third_entries,34.520833333333336,34.0,0.09843749999999996,0.35325064332158973,False
passes_per_connection,3.701041666666667,3.6372500000000003,0.09062499999999996,0.3931113826828232,False
connections_per_100_passes,29.24791666666667,30.209875,-0.09010416666666665,0.3958687121433072,False
unique_passing_pairs,106.27083333333333,104.325,0.08515625000000004,0.42212611476823425,False
network_density,0.5934291666666667,0.59373875,-0.0033854166666666963,0.9764326595874049,False
final_third_entries_per_100_passes,8.882083333333334,8.844999999999999,0.0005208333333333037,0.9980364177262591,False
