feature,2018_pct_difference,2022_pct_difference,2018_rank_biserial,2022_rank_biserial,2018_p_value,2022_p_value,2018_p_fdr,2022_p_fdr,2018_significant_fdr,2022_significant_fdr,same_direction,effect_change,replication_category
connections_per_100_passes,-9.053384575782047,-22.546358132838375,-0.1875,-0.7083333333333333,0.4540051148949927,0.0020242814903549,0.6053401531933236,0.0136965098922829,False,True,True,0.5208333333333333,"2. Same direction, stronger in 2022"
passes_per_connection,7.509927587012359,22.8994447871684,0.1875,0.6770833333333333,0.4540051148949927,0.0034241274730707,0.6053401531933236,0.0136965098922829,False,True,True,0.48958333333333326,"2. Same direction, stronger in 2022"
completed_passes,11.158973597237187,32.59674349756819,0.2604166666666667,0.625,0.2927111795632375,0.0075928619643858,0.6053401531933236,0.020247631905029,False,True,True,0.3645833333333333,"2. Same direction, stronger in 2022"
final_third_entries_per_100_passes,-0.4560035222341037,-7.044942186022826,0.0208333333333332,-0.3229166666666666,0.9490214198111864,0.1883330956523393,0.9490214198111864,0.2152378236026735,False,False,False,0.30208333333333337,5. Little evidence in either tournament
network_density,2.638669844480441,6.686191572242617,0.2083333333333332,0.4583333333333332,0.4036581957160379,0.0572489851021552,0.6053401531933236,0.0814465818413494,False,False,True,0.25,"2. Same direction, stronger in 2022"
final_third_entries,10.573630136986306,26.869806094182845,0.265625,0.453125,0.2762932775999505,0.0610849363810121,0.6053401531933236,0.0814465818413494,False,False,True,0.1875,"2. Same direction, stronger in 2022"
unique_passing_pairs,3.7152121048365294,8.832807570977922,0.3020833333333332,0.46875,0.2146530340424471,0.0527491363958873,0.6053401531933236,0.0814465818413494,False,False,True,0.1666666666666668,"2. Same direction, stronger in 2022"
top_player_reliance,-0.6669115776980266,-2.377551020408167,0.0833333333333332,-0.1041666666666666,0.7441024313724142,0.679260593821905,0.8504027787113305,0.679260593821905,False,False,False,0.020833333333333398,5. Little evidence in either tournament
